Thématique;Sous-thème;mot;noyau;genre;mot en chinois;phrases françaises;phrases chinoises;tag;
sentiment;sentiment;humeur;1;f.;??  / ??;Elle est toujours d’humeur égale.;????????;toujours/humeur/égale;
sentiment;sentiment;caractère*;1;m.;??;Il a un caractère bien affirmé.;??????;caractère/affirmé;
sentiment;sentiment;affection;1;f.; ??;Il lui a montré toute son affection.;?????????????;montrer/affection;
sentiment;sentiment;affectif, ive;1;adj.;???;C’est une question affective.;?????????;question/affective;
sentiment;plaisir;plaisir;0;m.;??;Il éprouve un grand plaisir à l’idée de se marier.;???????????;éprouver/plaisir/idée/semarier;
sentiment;plaisir;plaisant, e;1;adj.;???;son attitude envers chacun est très plaisante.;?????????????;attitude/chacun/plaisante;
sentiment;plaisir;agréable;1;adj.;???/?????;C’est agréable de le voir si souvent.;?????????????;agréable/voir/souvent;
sentiment;plaisir;désagréable;1;adj.;????? / ???;C’est désagréable de se voir tout le temps.;????????;désagréable/sevoir/contredit;
sentiment;plaisir;passion;1;f.;??;Elle a une passion pour ce qu'elle fait.;????????????;passion/faire;
sentiment;plaisir;passionner;1;v.;??;Il est passionné de musique contemporaine.;?????????;passionner/musique/contemporaine;
sentiment;plaisir;désir;1;m.;?? /??;Il éprouve un grand désir d’y aller.;??????;éprouver/désir/aller;
sentiment;plaisir;envie;1;f.;??;J’ai envie de chocolat.;???????;envie/chocolat;
sentiment;plaisir;jalousie;1;f.;??;La jalousie amène à faire des erreurs.;????????;jalousie/amener/erreur;
sentiment;plaisir;jaloux, se;1;adj.;??;Il est jaloux de son succès.;?????????;jaloux/succès;
sentiment;plaisir;attirer;1;v.;??  /  ??;J’attire votre attention sur cette idée.;??????????;attirer/attention/idée;
sentiment;plaisir;attirance;1;f.;??  /  ??;J'éprouve une attirance pour elle.;?????????;éprouver/attirance;
sentiment;plaisir;sexy;1;adj.;???;Je la trouve très sexy.;????????;trouver/sexy;
sentiment;plaisir;gêner;1;v.;?? / ???;Il a l’ait gêné de devoir lui répondre.;????????????;gêner/devoir/répondre;
sentiment;plaisir;admirer;1;v.;??  /  ??;Il admire sa mère.;????????;admirer/mère;
sentiment;plaisir;admiration;1;f.;??  /  ??;J'ai une admiration pour cet homme.;????????;admiration/homme;
sentiment;plaisir;séduire;1;v.;?? / ??;Elle a été séduite par sa gentillesse.;?????????;laisser/séduire/charme;
sentiment;beau;beau, elle;0;adj.;???;Cet enfant est vraiment beau !;????????;enfant/vraiment/beau;
sentiment;beau;beauté;1;f.;??;Nous n'avons pas toujours la même idée de la beauté.;???????????????;idée/beauté;
sentiment;beau;esthétique;1;f.;??;Elle a écrit un mémoire sur l'esthétique au 20ème siècle.;???????20????????;écrire/mémoire/esthétique/siècle;
sentiment;beau;cosmétique;1;m.;???;Il a une boutique de cosmétiques.;?????????;boutique/cosmétique;
sentiment;beau;laid, e;1;adj.;???;Ce bâtiment moderne est très laid !;?????????;bâtiment/moderne/laid;
sentiment;aimer;aimer;0;v.;?/ ??;Ils se sont aimés dès le premier jour.;???????;s'aimer/premier/jour;
sentiment;aimer;amour;1;m.;??;Il éprouve un réel amour pour elle.;???????;éprouver/réel/amour;
sentiment;aimer;détester;1;v.;??;Il ne la déteste pas, mais il ne l’aime pas non plus.;????????????;détester/aimer;
sentiment;aimer;haïr ;1;v.;??;Il n’est pas bien de haïr qqn ou qq ch.;???????????;haïr/bien;
sentiment;aimer;adorer;1;v.;?? / ??;Ils s’adorent depuis l’enfance.;???????;s'adorer/enfance;
sentiment;aimer;amitié;0;f.;??;Leur amitié est solide.;?????????;amitié/solide;
